CaseId,CustomerId,Subject,Category,Channel,Priority,Status,SatisfactionScore,CreatedDate,ResolvedDate
CASE-500233,CUST-10339,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,Medium,Resolved,4,2022-01-25T18:46:00Z,2022-01-28T18:46:00Z
CASE-500708,CUST-10993,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,Low,In Progress,4,2022-02-09T23:42:00Z,
CASE-500419,CUST-10606,Dúvida sobre validade dos pontos expirando,Atendimento,Reclame Aqui,Medium,Closed,5,2022-03-26T18:22:00Z,2022-03-30T18:22:00Z
CASE-500030,CUST-10048,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,Low,Closed,5,2022-05-15T17:53:00Z,2022-05-21T17:53:00Z
CASE-500444,CUST-10643,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,3,2022-06-23T01:53:00Z,2022-06-24T01:53:00Z
CASE-500521,CUST-10734,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,Medium,Escalated,5,2022-07-09T13:13:00Z,
CASE-500562,CUST-10806,Solicitação de estorno de taxa de transferência,Financeiro,WhatsApp,Critical,In Progress,1,2022-07-26T19:40:00Z,
CASE-500215,CUST-10319,Dúvida sobre validade dos pontos expirando,Atendimento,App Livelo,High,Resolved,1,2022-08-07T18:58:00Z,2022-08-15T18:58:00Z
CASE-500273,CUST-10399,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,High,In Progress,2,2022-08-17T03:50:00Z,
CASE-500257,CUST-10372,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,High,Resolved,1,2022-09-16T07:01:00Z,2022-09-17T07:01:00Z
CASE-500195,CUST-10285,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Medium,Closed,4,2022-09-22T10:22:00Z,2022-09-30T10:22:00Z
CASE-500319,CUST-10472,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Low,Closed,4,2022-09-27T12:15:00Z,2022-10-05T12:15:00Z
CASE-500320,CUST-10473,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Low,Resolved,5,2022-10-04T07:02:00Z,2022-10-13T07:02:00Z
CASE-500613,CUST-10877,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,High,Closed,4,2022-10-10T16:13:00Z,2022-10-18T16:13:00Z
CASE-500106,CUST-10168,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Medium,Resolved,4,2022-10-14T00:24:00Z,2022-10-19T00:24:00Z
CASE-500078,CUST-10119,Atraso na entrega de produto resgatado,Resgate/Entrega,Telefone,High,In Progress,1,2022-10-22T08:44:00Z,
CASE-500391,CUST-10579,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,Critical,Closed,1,2022-10-28T12:47:00Z,2022-11-05T12:47:00Z
CASE-500612,CUST-10876,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,Low,Resolved,2,2022-11-24T08:02:00Z,2022-11-26T08:02:00Z
CASE-500479,CUST-10686,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Low,Closed,5,2022-11-26T03:46:00Z,2022-12-06T03:46:00Z
CASE-500203,CUST-10298,Solicitação de estorno de taxa de transferência,Financeiro,Reclame Aqui,High,In Progress,1,2022-11-28T07:35:00Z,
CASE-500146,CUST-10224,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,High,Closed,2,2022-12-07T18:31:00Z,2022-12-12T18:31:00Z
CASE-500226,CUST-10334,Solicitação de estorno de taxa de transferência,Financeiro,Chat Web,Low,Closed,5,2022-12-27T13:46:00Z,2022-12-29T13:46:00Z
CASE-500415,CUST-10604,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,High,Closed,1,2023-01-10T11:01:00Z,2023-01-11T11:01:00Z
CASE-500206,CUST-10304,Voucher de Gift Card com código inválido,Resgate/Entrega,App Livelo,Low,Closed,5,2023-01-12T13:25:00Z,2023-01-16T13:25:00Z
CASE-500639,CUST-10904,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Chat Web,Critical,Resolved,2,2023-01-14T12:21:00Z,2023-01-15T12:21:00Z
CASE-500016,CUST-10030,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Low,Closed,4,2023-01-18T21:54:00Z,2023-01-28T21:54:00Z
CASE-500378,CUST-10551,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Medium,Resolved,3,2023-01-22T05:46:00Z,2023-01-24T05:46:00Z
CASE-500283,CUST-10414,Atraso na entrega de produto resgatado,Resgate/Entrega,Reclame Aqui,Low,Closed,5,2023-02-07T18:13:00Z,2023-02-13T18:13:00Z
CASE-500522,CUST-10736,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,Low,Closed,5,2023-02-09T18:57:00Z,2023-02-17T18:57:00Z
CASE-500637,CUST-10902,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,High,Escalated,1,2023-02-11T05:11:00Z,
CASE-500341,CUST-10498,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Reclame Aqui,Medium,Resolved,5,2023-02-16T07:30:00Z,2023-02-26T07:30:00Z
CASE-500085,CUST-10126,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,Low,Closed,5,2023-02-28T10:35:00Z,2023-03-03T10:35:00Z
CASE-500271,CUST-10394,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,High,Closed,1,2023-03-19T17:54:00Z,2023-03-21T17:54:00Z
CASE-500399,CUST-10589,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,Low,Resolved,3,2023-03-20T00:53:00Z,2023-03-26T00:53:00Z
CASE-500684,CUST-10962,Atraso na entrega de produto resgatado,Resgate/Entrega,WhatsApp,Medium,Closed,4,2023-03-21T13:06:00Z,2023-03-26T13:06:00Z
CASE-500550,CUST-10780,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Low,Closed,4,2023-03-30T13:45:00Z,2023-04-09T13:45:00Z
CASE-500607,CUST-10872,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,Medium,Resolved,4,2023-03-31T11:23:00Z,2023-04-01T11:23:00Z
CASE-500474,CUST-10679,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Medium,Closed,4,2023-04-02T01:40:00Z,2023-04-12T01:40:00Z
CASE-500711,CUST-11000,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,High,In Progress,2,2023-04-02T22:31:00Z,
CASE-500265,CUST-10389,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Low,Closed,5,2023-04-05T06:21:00Z,2023-04-12T06:21:00Z
CASE-500258,CUST-10372,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Telefone,High,Closed,2,2023-04-10T08:55:00Z,2023-04-17T08:55:00Z
CASE-500493,CUST-10700,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,High,Escalated,1,2023-04-21T09:58:00Z,
CASE-500213,CUST-10318,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,High,Escalated,2,2023-04-21T20:20:00Z,
CASE-500013,CUST-10023,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Low,Resolved,5,2023-04-23T19:56:00Z,2023-05-03T19:56:00Z
CASE-500365,CUST-10534,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Medium,Closed,5,2023-04-26T16:20:00Z,2023-05-02T16:20:00Z
CASE-500153,CUST-10235,Produto entregue com avaria/defeito,Resgate/Entrega,WhatsApp,Medium,In Progress,1,2023-04-29T18:22:00Z,
CASE-500579,CUST-10834,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,Medium,Resolved,1,2023-05-01T19:42:00Z,2023-05-11T19:42:00Z
CASE-500005,CUST-10014,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Chat Web,Low,Closed,5,2023-05-15T21:46:00Z,2023-05-17T21:46:00Z
CASE-500194,CUST-10283,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,Critical,Resolved,1,2023-05-20T14:57:00Z,2023-05-23T14:57:00Z
CASE-500328,CUST-10485,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Low,Closed,4,2023-06-24T07:58:00Z,2023-06-27T07:58:00Z
CASE-500551,CUST-10783,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Chat Web,Low,Closed,4,2023-06-25T08:39:00Z,2023-06-27T08:39:00Z
CASE-500523,CUST-10741,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,High,In Progress,1,2023-06-27T19:52:00Z,
CASE-500487,CUST-10695,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,Critical,Closed,5,2023-07-01T01:34:00Z,2023-07-08T01:34:00Z
CASE-500681,CUST-10959,Dúvida sobre validade dos pontos expirando,Atendimento,Reclame Aqui,Low,Closed,5,2023-07-05T21:24:00Z,2023-07-09T21:24:00Z
CASE-500588,CUST-10844,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Medium,Closed,4,2023-07-06T14:59:00Z,2023-07-10T14:59:00Z
CASE-500569,CUST-10820,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Low,Closed,5,2023-07-07T18:52:00Z,2023-07-09T18:52:00Z
CASE-500676,CUST-10954,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,Low,Closed,5,2023-07-08T02:26:00Z,2023-07-09T02:26:00Z
CASE-500489,CUST-10696,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Low,Closed,2,2023-07-10T07:01:00Z,2023-07-19T07:01:00Z
CASE-500102,CUST-10155,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,High,Closed,4,2023-07-10T11:08:00Z,2023-07-20T11:08:00Z
CASE-500558,CUST-10796,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,High,Resolved,2,2023-07-11T21:34:00Z,2023-07-20T21:34:00Z
CASE-500369,CUST-10539,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Low,Resolved,5,2023-07-12T05:15:00Z,2023-07-18T05:15:00Z
CASE-500610,CUST-10875,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Low,Escalated,3,2023-07-13T09:29:00Z,
CASE-500418,CUST-10604,Solicitação de estorno de taxa de transferência,Financeiro,App Livelo,High,In Progress,1,2023-07-13T10:28:00Z,
CASE-500455,CUST-10656,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,Critical,Escalated,2,2023-07-21T11:51:00Z,
CASE-500080,CUST-10122,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Chat Web,High,Resolved,5,2023-07-23T20:27:00Z,2023-07-27T20:27:00Z
CASE-500287,CUST-10423,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Medium,Closed,3,2023-07-24T04:10:00Z,2023-07-29T04:10:00Z
CASE-500286,CUST-10419,Solicitação de estorno de taxa de transferência,Financeiro,Chat Web,Low,Closed,5,2023-07-27T05:53:00Z,2023-07-29T05:53:00Z
CASE-500377,CUST-10551,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,High,Closed,4,2023-07-27T22:01:00Z,2023-08-01T22:01:00Z
CASE-500354,CUST-10521,Pontos não creditados após compra parceira,Pontuação/Acúmulo,WhatsApp,Low,Closed,3,2023-08-01T14:38:00Z,2023-08-04T14:38:00Z
CASE-500502,CUST-10708,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,Critical,Escalated,1,2023-08-01T20:40:00Z,
CASE-500446,CUST-10644,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Critical,Closed,5,2023-08-07T14:04:00Z,2023-08-08T14:04:00Z
CASE-500706,CUST-10990,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,High,Escalated,2,2023-08-13T00:55:00Z,
CASE-500609,CUST-10874,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,App Livelo,High,Escalated,1,2023-08-14T18:40:00Z,
CASE-500038,CUST-10062,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Medium,Resolved,5,2023-08-16T05:41:00Z,2023-08-23T05:41:00Z
CASE-500018,CUST-10032,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Low,Resolved,1,2023-08-18T00:07:00Z,2023-08-27T00:07:00Z
CASE-500219,CUST-10322,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,WhatsApp,Critical,Closed,4,2023-08-23T17:20:00Z,2023-08-26T17:20:00Z
CASE-500214,CUST-10318,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,High,Closed,1,2023-08-29T14:32:00Z,2023-08-30T14:32:00Z
CASE-500322,CUST-10474,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Medium,Resolved,5,2023-08-30T08:09:00Z,2023-09-03T08:09:00Z
CASE-500392,CUST-10579,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Critical,Escalated,2,2023-08-30T09:34:00Z,
CASE-500267,CUST-10391,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Chat Web,Low,Closed,4,2023-09-02T08:31:00Z,2023-09-07T08:31:00Z
