ProductId,ProductName,Category,PointsPrice,ValueBRL
PROD-001,Passagem Aérea SP - Rio de Janeiro (Ida e Volta),Viagens,18000,360.00
PROD-002,Passagem Aérea SP - Miami (Ida e Volta),Viagens,120000,2400.00
PROD-003,Diária Hotel Resort All Inclusive Porto de Galinhas,Viagens,35000,700.00
PROD-004,Aluguel de Carro Categoria SUV (3 Diárias),Viagens,25000,500.00
PROD-005,Pacote de Viagem Lisboa 5 Noites,Viagens,220000,4400.00
PROD-006,Passagem Aérea SP - Salvador,Viagens,22000,440.00
PROD-007,Passagem Aérea SP - Buenos Aires,Viagens,45000,900.00
PROD-008,Passeio de Lancha em Angra dos Reis,Viagens,15000,300.00
PROD-009,Seguro Viagem Internacional 7 Dias,Viagens,8000,160.00
PROD-010,Diária Hotel Executivo Faria Lima SP,Viagens,18000,360.00
PROD-011,Smartphone Samsung Galaxy S24 256GB,Eletrônicos,250000,5000.00
PROD-012,Apple iPhone 15 128GB,Eletrônicos,320000,6400.00
PROD-013,Fone de Ouvido Bluetooth Noise Cancelling Sony,Eletrônicos,65000,1300.00
PROD-014,Smart TV 55'' 4K UHD LG,Eletrônicos,140000,2800.00
PROD-015,Notebook Dell Inspiron Intel i7 16GB,Eletrônicos,210000,4200.00
PROD-016,Caixa de Som JBL Charge 5,Eletrônicos,35000,700.00
PROD-017,Tablet Apple iPad 10ª Geração 64GB,Eletrônicos,180000,3600.00
PROD-018,Relógio Apple Watch SE,Eletrônicos,120000,2400.00
PROD-019,Console PlayStation 5 825GB,Eletrônicos,230000,4600.00
PROD-020,Kindle Paperwhite 16GB,Eletrônicos,30000,600.00
PROD-021,Jogo de Panelas Tramontina Inox 5 Peças,Casa e Cozinha,25000,500.00
PROD-022,Cafeteira Nespresso Essenza Mini,Casa e Cozinha,20000,400.00
PROD-023,Fritadeira Air Fryer Philips Walita 4.1L,Casa e Cozinha,30000,600.00
PROD-024,Robô Aspirador de Pó Eufy RoboVac,Casa e Cozinha,55000,1100.00
PROD-025,Liquidificador Oster 1400W,Casa e Cozinha,12000,240.00
PROD-026,Aparelho de Jantar Oxford 20 Peças,Casa e Cozinha,18000,360.00
PROD-027,Adega Climatizada 12 Garrafas Brastemp,Casa e Cozinha,80000,1600.00
PROD-028,Batedeira Planetária KitchenAid,Casa e Cozinha,130000,2600.00
PROD-029,Jogo de Cama 200 Fios Casal Buddemeyer,Casa e Cozinha,22000,440.00
PROD-030,Purificador de Água Consul,Casa e Cozinha,15000,300.00
PROD-031,Voucher Uber R$ 100,Gift Cards & Vouchers,5000,100.00
PROD-032,Voucher iFood R$ 150,Gift Cards & Vouchers,7500,150.00
PROD-033,Gift Card OutBack R$ 200,Gift Cards & Vouchers,10000,200.00
PROD-034,Crédito Shell Box R$ 100,Gift Cards & Vouchers,5000,100.00
PROD-035,Cartão Boticário R$ 150,Gift Cards & Vouchers,7500,150.00
PROD-036,Voucher Renner R$ 200,Gift Cards & Vouchers,10000,200.00
PROD-037,Gift Card Steam R$ 100,Gift Cards & Vouchers,5000,100.00
PROD-038,Assinatura Spotify Premium 6 Meses,Gift Cards & Vouchers,6000,120.00
PROD-039,Assinatura Netflix 3 Meses,Gift Cards & Vouchers,8000,160.00
PROD-040,Crédito Cacau Show R$ 100,Gift Cards & Vouchers,5000,100.00
PROD-041,Transferência Pontos Azul Fidelidade (10.000 pts),Transferência de Pontos,10000,200.00
PROD-042,Transferência Pontos LATAM Pass (10.000 pts),Transferência de Pontos,10000,200.00
PROD-043,Transferência Milhas Smiles (10.000 pts),Transferência de Pontos,10000,200.00
PROD-044,Transferência TAP Miles&Go (10.000 pts),Transferência de Pontos,12000,240.00
PROD-045,Transferência ALL Accor Live Limitless (2.000 pts),Transferência de Pontos,16000,320.00
PROD-046,Bonus Transferência Smiles +80%,Transferência de Pontos,10000,200.00
PROD-047,Bonus Transferência LATAM Pass +60%,Transferência de Pontos,10000,200.00
PROD-048,Transferência Iberia Plus (10.000 pts),Transferência de Pontos,20000,400.00
PROD-049,Transferência British Airways Executive Club,Transferência de Pontos,20000,400.00
PROD-050,Transferência United MileagePlus,Transferência de Pontos,30000,600.00
