InteractionId,CustomerId,ProductId,InteractionType,InteractionDate
INT-115318,CUST-10924,PROD-002,View,2022-01-01T06:02:00Z
INT-107060,CUST-10635,PROD-009,View,2022-01-01T06:49:00Z
INT-111235,CUST-10885,PROD-031,View,2022-01-01T07:00:00Z
INT-116239,CUST-10784,PROD-012,View,2022-01-01T07:55:00Z
INT-103483,CUST-10652,PROD-036,View,2022-01-01T16:10:00Z
INT-119810,CUST-10450,PROD-040,CartAdd,2022-01-01T17:11:00Z
INT-119092,CUST-10466,PROD-044,View,2022-01-01T17:12:00Z
INT-109322,CUST-10106,PROD-019,CartAdd,2022-01-01T19:05:00Z
INT-119283,CUST-10815,PROD-042,Wishlist,2022-01-01T19:27:00Z
INT-110446,CUST-10775,PROD-040,View,2022-01-01T20:28:00Z
INT-106784,CUST-10296,PROD-022,View,2022-01-01T20:42:00Z
INT-106952,CUST-10077,PROD-045,View,2022-01-02T02:09:00Z
INT-119642,CUST-10991,PROD-038,View,2022-01-02T06:05:00Z
INT-105198,CUST-10790,PROD-017,View,2022-01-02T07:59:00Z
INT-100538,CUST-10345,PROD-031,Wishlist,2022-01-02T09:02:00Z
INT-102359,CUST-10543,PROD-001,View,2022-01-02T09:35:00Z
INT-109555,CUST-10485,PROD-025,View,2022-01-02T10:05:00Z
INT-110584,CUST-10162,PROD-045,Wishlist,2022-01-02T11:29:00Z
INT-117038,CUST-10931,PROD-034,View,2022-01-02T14:44:00Z
INT-104122,CUST-10063,PROD-005,View,2022-01-02T20:57:00Z
INT-118143,CUST-10359,PROD-026,View,2022-01-02T21:37:00Z
INT-110797,CUST-10021,PROD-002,View,2022-01-03T00:33:00Z
INT-115920,CUST-10422,PROD-021,Wishlist,2022-01-03T00:59:00Z
INT-102354,CUST-10703,PROD-039,View,2022-01-03T01:42:00Z
INT-108435,CUST-10145,PROD-007,View,2022-01-03T03:25:00Z
INT-111620,CUST-10554,PROD-026,View,2022-01-03T04:32:00Z
INT-118095,CUST-10346,PROD-012,View,2022-01-03T04:46:00Z
INT-101168,CUST-10484,PROD-025,View,2022-01-03T05:43:00Z
INT-103770,CUST-10595,PROD-027,View,2022-01-03T06:03:00Z
INT-101146,CUST-10549,PROD-042,View,2022-01-03T06:05:00Z
INT-108656,CUST-10364,PROD-012,View,2022-01-03T09:27:00Z
INT-114000,CUST-10947,PROD-040,View,2022-01-03T09:30:00Z
INT-107486,CUST-10172,PROD-023,View,2022-01-03T15:57:00Z
INT-116117,CUST-10159,PROD-039,View,2022-01-03T17:29:00Z
INT-109049,CUST-10033,PROD-044,Wishlist,2022-01-04T00:06:00Z
INT-119048,CUST-10001,PROD-036,View,2022-01-04T00:36:00Z
INT-117667,CUST-10459,PROD-007,View,2022-01-04T02:53:00Z
INT-107669,CUST-10142,PROD-040,View,2022-01-04T04:12:00Z
INT-112389,CUST-10135,PROD-046,View,2022-01-04T04:46:00Z
INT-119335,CUST-10883,PROD-029,View,2022-01-04T04:46:00Z
INT-106693,CUST-10643,PROD-027,View,2022-01-04T07:43:00Z
INT-117170,CUST-10303,PROD-021,View,2022-01-04T08:45:00Z
INT-119420,CUST-10267,PROD-030,View,2022-01-04T09:09:00Z
INT-115968,CUST-10283,PROD-028,View,2022-01-04T09:25:00Z
INT-118843,CUST-10631,PROD-039,View,2022-01-04T10:02:00Z
INT-119649,CUST-10372,PROD-016,Wishlist,2022-01-04T12:19:00Z
INT-106806,CUST-10916,PROD-006,View,2022-01-04T14:41:00Z
INT-100362,CUST-10018,PROD-040,View,2022-01-04T20:07:00Z
INT-101871,CUST-10071,PROD-012,View,2022-01-04T21:33:00Z
INT-115199,CUST-10528,PROD-046,View,2022-01-05T07:32:00Z
INT-102968,CUST-10434,PROD-031,View,2022-01-05T07:40:00Z
INT-116155,CUST-10001,PROD-035,View,2022-01-05T10:13:00Z
INT-106391,CUST-10456,PROD-047,View,2022-01-05T10:28:00Z
INT-104162,CUST-10950,PROD-044,View,2022-01-05T11:57:00Z
INT-109243,CUST-10307,PROD-016,Wishlist,2022-01-05T13:28:00Z
INT-107613,CUST-10068,PROD-035,View,2022-01-05T16:18:00Z
INT-118296,CUST-10713,PROD-019,View,2022-01-05T16:44:00Z
INT-114084,CUST-10343,PROD-014,View,2022-01-05T21:12:00Z
INT-109585,CUST-10143,PROD-020,View,2022-01-05T21:53:00Z
INT-103935,CUST-10442,PROD-040,View,2022-01-05T23:10:00Z
INT-107765,CUST-10579,PROD-021,CartAdd,2022-01-05T23:49:00Z
INT-106250,CUST-10215,PROD-007,CartAdd,2022-01-06T01:38:00Z
INT-109313,CUST-10354,PROD-010,View,2022-01-06T02:39:00Z
INT-108364,CUST-10394,PROD-017,View,2022-01-06T04:56:00Z
INT-101980,CUST-10788,PROD-035,View,2022-01-06T04:57:00Z
INT-109016,CUST-10283,PROD-027,Wishlist,2022-01-06T06:09:00Z
INT-101953,CUST-10047,PROD-033,Wishlist,2022-01-06T07:41:00Z
INT-103246,CUST-10537,PROD-016,View,2022-01-06T08:22:00Z
INT-119264,CUST-10034,PROD-029,Wishlist,2022-01-06T10:24:00Z
INT-115593,CUST-10946,PROD-001,Wishlist,2022-01-06T11:30:00Z
INT-109864,CUST-10743,PROD-029,CartAdd,2022-01-06T12:08:00Z
INT-104973,CUST-10624,PROD-049,View,2022-01-06T15:21:00Z
INT-108470,CUST-10587,PROD-047,Wishlist,2022-01-06T15:54:00Z
INT-119825,CUST-10689,PROD-045,View,2022-01-06T17:47:00Z
INT-104081,CUST-10329,PROD-032,Wishlist,2022-01-06T18:58:00Z
INT-100142,CUST-10883,PROD-025,View,2022-01-06T21:25:00Z
INT-107245,CUST-10990,PROD-025,View,2022-01-07T06:29:00Z
INT-112911,CUST-10346,PROD-014,Wishlist,2022-01-07T06:35:00Z
INT-119688,CUST-10822,PROD-049,View,2022-01-07T06:43:00Z
INT-106722,CUST-10198,PROD-008,View,2022-01-07T08:28:00Z
INT-113547,CUST-10161,PROD-023,CartAdd,2022-01-07T09:07:00Z
INT-100074,CUST-10398,PROD-005,CartAdd,2022-01-07T09:34:00Z
INT-114759,CUST-10675,PROD-036,View,2022-01-07T09:58:00Z
INT-116818,CUST-10896,PROD-011,Wishlist,2022-01-07T10:42:00Z
INT-115757,CUST-10892,PROD-035,View,2022-01-07T11:48:00Z
INT-106621,CUST-10522,PROD-050,CartAdd,2022-01-07T12:04:00Z
INT-118657,CUST-10201,PROD-009,View,2022-01-07T12:24:00Z
INT-105261,CUST-10869,PROD-028,View,2022-01-07T15:32:00Z
INT-117128,CUST-10440,PROD-038,View,2022-01-07T16:04:00Z
INT-106776,CUST-10393,PROD-048,CartAdd,2022-01-07T17:40:00Z
INT-107029,CUST-10461,PROD-029,View,2022-01-07T18:10:00Z
INT-102816,CUST-10307,PROD-031,View,2022-01-07T21:59:00Z
INT-112177,CUST-10067,PROD-022,View,2022-01-07T22:06:00Z
