SubscriptionLogId,CustomerId,ClubPlanName,MonthlyFeeBRL,PointsCredited,BillingDate,PaymentStatus,PaymentMethod
SUB-906905,CUST-10592,Clube Top 20k,799.90,20000,2022-01-11T11:00:00Z,Paid,Credit Card
SUB-910672,CUST-10896,Clube Super 10k,489.90,10000,2022-01-15T11:00:00Z,Paid,PIX Auto
SUB-909153,CUST-10770,Clube Top 20k,799.90,20000,2022-01-20T08:00:00Z,Paid,PIX Auto
SUB-908471,CUST-10719,Clube Top 20k,799.90,20000,2022-01-29T06:00:00Z,Paid,Credit Card
SUB-900446,CUST-10034,Clube Top 20k,799.90,20000,2022-02-02T07:00:00Z,Paid,Credit Card
SUB-907505,CUST-10643,Clube Plus 5k,219.90,5000,2022-02-05T10:00:00Z,Paid,Credit Card
SUB-903384,CUST-10268,Clube Top 20k,799.90,20000,2022-02-06T09:00:00Z,Paid,Credit Card
SUB-906060,CUST-10530,Clube Special 3k,129.90,3000,2022-02-09T06:00:00Z,Paid,PIX Auto
SUB-906906,CUST-10592,Clube Top 20k,799.90,20000,2022-02-10T12:00:00Z,Paid,Credit Card
SUB-910673,CUST-10896,Clube Super 10k,489.90,10000,2022-02-14T10:00:00Z,Paid,PIX Auto
SUB-904012,CUST-10329,Clube Super 10k,489.90,10000,2022-02-17T09:00:00Z,Paid,PIX Auto
SUB-901505,CUST-10125,Clube Super 10k,489.90,10000,2022-02-18T06:00:00Z,Paid,Credit Card
SUB-909096,CUST-10765,Clube Super 10k,489.90,10000,2022-02-18T07:00:00Z,Paid,Credit Card
SUB-908423,CUST-10717,Clube Special 3k,129.90,3000,2022-02-18T09:00:00Z,Paid,PIX Auto
SUB-909154,CUST-10770,Clube Top 20k,799.90,20000,2022-02-19T06:00:00Z,Paid,PIX Auto
SUB-902718,CUST-10224,Clube Super 10k,489.90,10000,2022-02-19T09:00:00Z,Paid,Credit Card
SUB-904494,CUST-10386,Clube Super 10k,489.90,10000,2022-02-24T11:00:00Z,Paid,PIX Auto
SUB-908472,CUST-10719,Clube Top 20k,799.90,20000,2022-02-28T06:00:00Z,Paid,Credit Card
SUB-907080,CUST-10604,Clube Super 10k,489.90,10000,2022-02-28T10:00:00Z,Paid,Credit Card
SUB-901081,CUST-10090,Clube Top 20k,799.90,20000,2022-02-28T11:00:00Z,Paid,Credit Card
SUB-900447,CUST-10034,Clube Top 20k,799.90,20000,2022-03-04T07:00:00Z,Paid,Credit Card
SUB-908852,CUST-10743,Clube Super 10k,489.90,10000,2022-03-06T07:00:00Z,Paid,Credit Card
SUB-900920,CUST-10076,Clube Plus 5k,219.90,5000,2022-03-06T10:00:00Z,Paid,Credit Card
SUB-907506,CUST-10643,Clube Plus 5k,219.90,5000,2022-03-07T07:00:00Z,Paid,Credit Card
SUB-900179,CUST-10014,Clube Super 10k,489.90,10000,2022-03-08T08:00:00Z,Paid,Credit Card
SUB-903385,CUST-10268,Clube Top 20k,799.90,20000,2022-03-08T12:00:00Z,Paid,Credit Card
SUB-903673,CUST-10298,Clube Classic 1k,44.90,1000,2022-03-09T07:00:00Z,Paid,Credit Card
SUB-908948,CUST-10753,Clube Top 20k,799.90,20000,2022-03-10T10:00:00Z,Paid,PIX Auto
