TransactionId,CustomerId,ProductId,TransactionDate,Quantity,TransactionAmount,PointsUsed,TransactionType,IsReturn
TXN-809089,CUST-10270,PROD-020,2022-01-12T07:37:00Z,1,600.00,30000,Redemption,False
TXN-824708,CUST-10770,PROD-030,2022-01-13T02:09:00Z,1,300.00,15000,Redemption,False
TXN-824730,CUST-10770,PROD-025,2022-01-13T21:00:00Z,2,480.00,24000,Redemption,False
TXN-819047,CUST-10592,PROD-008,2022-01-14T13:08:00Z,1,300.00,15000,Transfer,False
TXN-811936,CUST-10367,PROD-012,2022-01-15T00:40:00Z,1,6400.00,320000,Transfer,False
TXN-809985,CUST-10298,PROD-017,2022-01-20T06:13:00Z,2,7200.00,360000,Redemption,False
TXN-804086,CUST-10125,PROD-006,2022-01-20T16:31:00Z,1,440.00,22000,Redemption,False
TXN-827022,CUST-10839,PROD-008,2022-01-22T05:28:00Z,1,300.00,15000,Purchase,False
TXN-828887,CUST-10896,PROD-048,2022-01-23T15:16:00Z,1,400.00,20000,Transfer,False
TXN-811939,CUST-10367,PROD-048,2022-01-24T06:26:00Z,1,400.00,20000,Redemption,False
TXN-808995,CUST-10268,PROD-021,2022-01-25T22:41:00Z,1,500.00,25000,Redemption,False
TXN-831068,CUST-10975,PROD-050,2022-01-30T21:31:00Z,1,600.00,30000,Redemption,False
TXN-801133,CUST-10034,PROD-023,2022-01-31T12:31:00Z,1,600.00,30000,Redemption,False
TXN-804097,CUST-10125,PROD-049,2022-02-03T15:21:00Z,1,400.00,20000,Purchase,False
TXN-816852,CUST-10530,PROD-023,2022-02-05T00:03:00Z,1,600.00,30000,Redemption,False
TXN-823014,CUST-10719,PROD-034,2022-02-06T03:01:00Z,1,100.00,5000,Purchase,False
TXN-806306,CUST-10191,PROD-012,2022-02-06T20:04:00Z,1,6400.00,320000,Redemption,False
TXN-831087,CUST-10975,PROD-044,2022-02-08T14:48:00Z,1,240.00,12000,Purchase,False
TXN-811898,CUST-10365,PROD-004,2022-02-08T20:07:00Z,1,500.00,25000,Transfer,False
TXN-809079,CUST-10270,PROD-004,2022-02-13T01:32:00Z,1,500.00,25000,Transfer,False
TXN-807444,CUST-10224,PROD-021,2022-02-13T09:09:00Z,3,1500.00,75000,Transfer,False
TXN-809076,CUST-10270,PROD-001,2022-02-15T10:00:00Z,2,720.00,36000,Purchase,False
TXN-807449,CUST-10224,PROD-037,2022-02-15T15:42:00Z,1,100.00,5000,Redemption,False
TXN-807394,CUST-10223,PROD-037,2022-02-15T16:09:00Z,1,100.00,5000,Purchase,False
TXN-809078,CUST-10270,PROD-001,2022-02-15T21:29:00Z,1,360.00,18000,Transfer,False
TXN-811943,CUST-10367,PROD-011,2022-02-16T17:22:00Z,1,5000.00,250000,Purchase,False
TXN-823039,CUST-10719,PROD-016,2022-02-16T18:32:00Z,1,700.00,35000,Purchase,False
TXN-811088,CUST-10334,PROD-030,2022-02-17T01:51:00Z,1,300.00,15000,Purchase,False
TXN-824560,CUST-10765,PROD-046,2022-02-18T21:32:00Z,1,200.00,10000,Redemption,False
TXN-812044,CUST-10373,PROD-023,2022-02-19T08:41:00Z,1,600.00,30000,Transfer,False
TXN-811207,CUST-10339,PROD-028,2022-02-20T11:43:00Z,1,2600.00,130000,Purchase,False
TXN-811201,CUST-10339,PROD-044,2022-02-24T23:34:00Z,1,240.00,12000,Transfer,False
TXN-823008,CUST-10719,PROD-013,2022-02-25T02:00:00Z,1,1300.00,65000,Redemption,False
TXN-807414,CUST-10223,PROD-034,2022-02-25T19:42:00Z,1,100.00,5000,Redemption,False
TXN-811203,CUST-10339,PROD-039,2022-02-25T22:34:00Z,1,160.00,8000,Redemption,False
TXN-823911,CUST-10743,PROD-022,2022-02-26T04:49:00Z,1,400.00,20000,Purchase,False
TXN-820657,CUST-10642,PROD-008,2022-02-27T02:39:00Z,2,600.00,30000,Purchase,False
TXN-823123,CUST-10722,PROD-030,2022-02-28T21:28:00Z,1,300.00,15000,Purchase,False
TXN-831084,CUST-10975,PROD-044,2022-03-01T17:51:00Z,1,240.00,12000,Redemption,False
TXN-822989,CUST-10719,PROD-011,2022-03-02T06:02:00Z,1,5000.00,250000,Transfer,False
TXN-812826,CUST-10399,PROD-033,2022-03-03T09:22:00Z,1,200.00,10000,Redemption,False
TXN-828875,CUST-10896,PROD-015,2022-03-07T14:11:00Z,1,4200.00,210000,Transfer,False
TXN-823033,CUST-10719,PROD-012,2022-03-07T18:59:00Z,1,6400.00,320000,Purchase,False
TXN-828498,CUST-10884,PROD-034,2022-03-09T12:45:00Z,1,100.00,5000,Redemption,False
TXN-819500,CUST-10606,PROD-029,2022-03-09T12:50:00Z,1,440.00,22000,Transfer,False
TXN-810017,CUST-10299,PROD-040,2022-03-10T07:38:00Z,1,100.00,5000,Purchase,False
TXN-811900,CUST-10365,PROD-042,2022-03-12T00:40:00Z,1,200.00,10000,Redemption,False
TXN-823138,CUST-10722,PROD-027,2022-03-14T00:54:00Z,1,1600.00,80000,Redemption,False
TXN-812430,CUST-10387,PROD-023,2022-03-15T14:47:00Z,1,600.00,30000,Redemption,False
TXN-812419,CUST-10386,PROD-048,2022-03-17T12:12:00Z,1,400.00,20000,Transfer,False
TXN-818622,CUST-10579,PROD-029,2022-03-17T17:18:00Z,1,440.00,22000,Transfer,False
TXN-810927,CUST-10329,PROD-020,2022-03-18T10:08:00Z,2,1200.00,60000,Redemption,False
TXN-809088,CUST-10270,PROD-043,2022-03-18T19:32:00Z,1,200.00,10000,Purchase,False
TXN-828077,CUST-10871,PROD-043,2022-03-21T15:08:00Z,1,200.00,10000,Redemption,False
TXN-812055,CUST-10373,PROD-050,2022-03-24T09:53:00Z,1,600.00,30000,Purchase,False
TXN-823007,CUST-10719,PROD-012,2022-03-25T10:11:00Z,1,6400.00,320000,Redemption,False
TXN-800494,CUST-10014,PROD-050,2022-03-25T23:43:00Z,1,600.00,30000,Purchase,False
TXN-820666,CUST-10643,PROD-028,2022-03-26T09:19:00Z,1,2600.00,130000,Purchase,False
TXN-823018,CUST-10719,PROD-015,2022-03-28T07:00:00Z,1,4200.00,210000,Redemption,False
TXN-800548,CUST-10014,PROD-042,2022-03-28T18:57:00Z,2,400.00,20000,Redemption,False
TXN-809027,CUST-10269,PROD-018,2022-03-29T01:26:00Z,1,2400.00,120000,Transfer,False
TXN-826543,CUST-10824,PROD-025,2022-03-29T14:17:00Z,1,240.00,12000,Redemption,False
TXN-823158,CUST-10722,PROD-029,2022-03-29T15:27:00Z,1,440.00,22000,Redemption,False
TXN-831660,CUST-10993,PROD-042,2022-03-29T16:21:00Z,1,200.00,10000,Redemption,False
TXN-831096,CUST-10975,PROD-043,2022-03-29T19:12:00Z,1,200.00,10000,Purchase,False
TXN-827082,CUST-10842,PROD-002,2022-03-30T03:52:00Z,1,2400.00,120000,Redemption,False
TXN-800609,CUST-10017,PROD-002,2022-03-30T21:36:00Z,1,2400.00,120000,Redemption,False
TXN-809436,CUST-10281,PROD-037,2022-03-31T06:54:00Z,1,100.00,5000,Transfer,False
TXN-824197,CUST-10753,PROD-049,2022-04-01T10:23:00Z,1,400.00,20000,Redemption,False
TXN-809119,CUST-10270,PROD-001,2022-04-01T17:34:00Z,1,360.00,18000,Redemption,False
TXN-809099,CUST-10270,PROD-005,2022-04-01T20:42:00Z,2,8800.00,440000,Purchase,False
TXN-828004,CUST-10869,PROD-041,2022-04-03T11:05:00Z,1,200.00,10000,Transfer,False
TXN-825189,CUST-10784,PROD-018,2022-04-03T12:00:00Z,1,2400.00,120000,Transfer,False
TXN-800521,CUST-10014,PROD-036,2022-04-04T03:03:00Z,1,200.00,10000,Transfer,False
TXN-806309,CUST-10191,PROD-045,2022-04-04T07:19:00Z,3,960.00,48000,Purchase,False
TXN-812449,CUST-10387,PROD-047,2022-04-05T09:28:00Z,1,200.00,10000,Redemption,False
TXN-802508,CUST-10076,PROD-021,2022-04-07T02:39:00Z,1,500.00,25000,Redemption,False
TXN-828886,CUST-10896,PROD-037,2022-04-07T05:55:00Z,1,100.00,5000,Redemption,False
TXN-807411,CUST-10223,PROD-031,2022-04-08T12:07:00Z,2,200.00,10000,Redemption,False
TXN-823177,CUST-10722,PROD-028,2022-04-08T13:02:00Z,1,2600.00,130000,Redemption,False
TXN-831715,CUST-10996,PROD-017,2022-04-08T15:37:00Z,1,3600.00,180000,Redemption,False
TXN-818623,CUST-10579,PROD-036,2022-04-08T16:22:00Z,2,400.00,20000,Transfer,False
TXN-800844,CUST-10024,PROD-008,2022-04-08T17:51:00Z,1,300.00,15000,Transfer,False
TXN-804364,CUST-10135,PROD-049,2022-04-09T00:26:00Z,1,400.00,20000,Transfer,False
TXN-810128,CUST-10302,PROD-018,2022-04-09T10:15:00Z,1,2400.00,120000,Purchase,False
TXN-827191,CUST-10846,PROD-019,2022-04-11T17:19:00Z,3,13800.00,690000,Redemption,False
TXN-827210,CUST-10846,PROD-020,2022-04-11T17:39:00Z,1,600.00,30000,Redemption,False
TXN-806311,CUST-10191,PROD-013,2022-04-12T04:11:00Z,1,1300.00,65000,Transfer,False
TXN-809120,CUST-10270,PROD-039,2022-04-12T12:26:00Z,1,160.00,8000,Redemption,False
TXN-827224,CUST-10846,PROD-002,2022-04-13T18:50:00Z,2,4800.00,240000,Redemption,False
TXN-811880,CUST-10365,PROD-049,2022-04-14T01:06:00Z,1,400.00,20000,Transfer,False
TXN-805193,CUST-10158,PROD-014,2022-04-14T03:23:00Z,1,2800.00,140000,Purchase,False
TXN-820661,CUST-10642,PROD-004,2022-04-14T11:24:00Z,1,500.00,25000,Transfer,False
TXN-828983,CUST-10900,PROD-017,2022-04-15T00:30:00Z,2,7200.00,360000,Redemption,False
TXN-802196,CUST-10066,PROD-030,2022-04-15T14:41:00Z,1,300.00,15000,Purchase,False
TXN-831724,CUST-10996,PROD-017,2022-04-16T20:28:00Z,1,3600.00,180000,Redemption,False
TXN-828018,CUST-10869,PROD-048,2022-04-17T00:25:00Z,2,800.00,40000,Redemption,False
TXN-810252,CUST-10305,PROD-030,2022-04-17T02:45:00Z,1,300.00,15000,Redemption,False
TXN-823922,CUST-10743,PROD-025,2022-04-17T07:52:00Z,1,240.00,12000,Redemption,False
TXN-820678,CUST-10644,PROD-006,2022-04-17T13:26:00Z,1,440.00,22000,Redemption,False
TXN-800749,CUST-10021,PROD-037,2022-04-17T23:06:00Z,1,100.00,5000,Redemption,False
TXN-817670,CUST-10552,PROD-016,2022-04-18T23:14:00Z,1,700.00,35000,Redemption,False
TXN-811958,CUST-10368,PROD-045,2022-04-19T09:12:00Z,1,320.00,16000,Transfer,False
TXN-812552,CUST-10389,PROD-012,2022-04-19T11:30:00Z,1,6400.00,320000,Redemption,False
TXN-824706,CUST-10770,PROD-027,2022-04-19T20:15:00Z,1,1600.00,80000,Redemption,False
TXN-815607,CUST-10487,PROD-030,2022-04-19T21:05:00Z,1,300.00,15000,Redemption,False
TXN-826572,CUST-10824,PROD-034,2022-04-19T21:13:00Z,1,100.00,5000,Redemption,False
TXN-809019,CUST-10269,PROD-027,2022-04-20T03:57:00Z,1,1600.00,80000,Purchase,False
TXN-809471,CUST-10281,PROD-035,2022-04-20T06:25:00Z,1,150.00,7500,Purchase,False
TXN-800518,CUST-10014,PROD-047,2022-04-21T00:41:00Z,1,200.00,10000,Redemption,False
TXN-802900,CUST-10090,PROD-040,2022-04-21T06:48:00Z,1,100.00,5000,Purchase,False
TXN-804333,CUST-10135,PROD-045,2022-04-21T16:04:00Z,1,320.00,16000,Redemption,False
TXN-828329,CUST-10880,PROD-045,2022-04-22T03:07:00Z,1,320.00,16000,Purchase,False
TXN-814186,CUST-10441,PROD-037,2022-04-22T06:35:00Z,1,100.00,5000,Purchase,False
TXN-824857,CUST-10774,PROD-040,2022-04-22T09:36:00Z,1,100.00,5000,Redemption,False
TXN-811842,CUST-10363,PROD-034,2022-04-22T20:22:00Z,1,100.00,5000,Purchase,False
TXN-811938,CUST-10367,PROD-018,2022-04-23T07:48:00Z,1,2400.00,120000,Redemption,False
TXN-803886,CUST-10119,PROD-018,2022-04-23T10:03:00Z,2,4800.00,240000,Transfer,False
TXN-809441,CUST-10281,PROD-013,2022-04-23T11:11:00Z,1,1300.00,65000,Transfer,False
TXN-827026,CUST-10839,PROD-001,2022-04-23T12:18:00Z,1,360.00,18000,Transfer,False
TXN-827192,CUST-10846,PROD-001,2022-04-24T02:23:00Z,1,-360.00,-18000,Purchase,True
TXN-810112,CUST-10302,PROD-012,2022-04-24T07:55:00Z,1,6400.00,320000,Redemption,False
TXN-827223,CUST-10846,PROD-007,2022-04-24T17:08:00Z,1,900.00,45000,Redemption,False
TXN-802198,CUST-10066,PROD-029,2022-04-25T04:49:00Z,1,440.00,22000,Purchase,False
TXN-802845,CUST-10087,PROD-039,2022-04-25T16:58:00Z,1,160.00,8000,Purchase,False
TXN-802931,CUST-10090,PROD-007,2022-04-25T17:07:00Z,1,900.00,45000,Purchase,False
TXN-817295,CUST-10543,PROD-031,2022-04-25T19:15:00Z,1,100.00,5000,Redemption,False
TXN-823619,CUST-10734,PROD-045,2022-04-26T01:16:00Z,1,320.00,16000,Redemption,False
TXN-809469,CUST-10281,PROD-019,2022-04-26T09:08:00Z,1,4600.00,230000,Purchase,False
TXN-824864,CUST-10774,PROD-014,2022-04-26T20:58:00Z,1,2800.00,140000,Redemption,False
TXN-802846,CUST-10087,PROD-034,2022-04-27T13:11:00Z,1,100.00,5000,Redemption,False
TXN-804088,CUST-10125,PROD-004,2022-04-27T18:59:00Z,1,500.00,25000,Redemption,False
TXN-831726,CUST-10996,PROD-014,2022-04-29T03:48:00Z,1,2800.00,140000,Redemption,False
TXN-812497,CUST-10388,PROD-011,2022-04-29T04:33:00Z,1,5000.00,250000,Transfer,False
TXN-800836,CUST-10024,PROD-001,2022-04-29T05:30:00Z,1,360.00,18000,Transfer,False
TXN-828775,CUST-10893,PROD-040,2022-04-29T07:43:00Z,1,100.00,5000,Transfer,False
TXN-827538,CUST-10856,PROD-004,2022-04-29T22:49:00Z,1,500.00,25000,Redemption,False
TXN-823394,CUST-10729,PROD-048,2022-04-30T10:53:00Z,1,400.00,20000,Transfer,False
TXN-823409,CUST-10729,PROD-038,2022-05-01T02:48:00Z,1,120.00,6000,Transfer,False
TXN-811843,CUST-10363,PROD-028,2022-05-01T19:06:00Z,1,2600.00,130000,Redemption,False
TXN-828102,CUST-10872,PROD-007,2022-05-02T03:23:00Z,2,1800.00,90000,Redemption,False
TXN-824870,CUST-10774,PROD-036,2022-05-02T05:03:00Z,1,200.00,10000,Purchase,False
TXN-816843,CUST-10530,PROD-031,2022-05-03T00:53:00Z,1,100.00,5000,Redemption,False
TXN-818906,CUST-10589,PROD-034,2022-05-03T02:25:00Z,1,100.00,5000,Redemption,False
TXN-818526,CUST-10575,PROD-012,2022-05-03T08:05:00Z,1,6400.00,320000,Transfer,False
TXN-801261,CUST-10037,PROD-006,2022-05-03T17:27:00Z,2,880.00,44000,Purchase,False
TXN-800541,CUST-10014,PROD-018,2022-05-03T19:03:00Z,2,4800.00,240000,Transfer,False
TXN-825596,CUST-10796,PROD-006,2022-05-04T00:57:00Z,1,440.00,22000,Redemption,False
TXN-804339,CUST-10135,PROD-041,2022-05-04T06:52:00Z,3,600.00,30000,Transfer,False
TXN-810903,CUST-10329,PROD-036,2022-05-04T16:24:00Z,1,200.00,10000,Redemption,False
TXN-828011,CUST-10869,PROD-041,2022-05-05T11:30:00Z,1,200.00,10000,Purchase,False
TXN-828526,CUST-10884,PROD-026,2022-05-05T21:01:00Z,1,360.00,18000,Purchase,False
TXN-831328,CUST-10983,PROD-018,2022-05-06T00:38:00Z,1,2400.00,120000,Redemption,False
TXN-817643,CUST-10552,PROD-007,2022-05-06T06:26:00Z,1,900.00,45000,Purchase,False
TXN-805117,CUST-10155,PROD-020,2022-05-06T15:01:00Z,1,600.00,30000,Purchase,False
TXN-820812,CUST-10650,PROD-045,2022-05-07T01:37:00Z,1,320.00,16000,Purchase,False
TXN-826549,CUST-10824,PROD-049,2022-05-07T09:58:00Z,1,400.00,20000,Purchase,False
TXN-820674,CUST-10644,PROD-019,2022-05-07T19:58:00Z,1,4600.00,230000,Purchase,False
TXN-828776,CUST-10893,PROD-017,2022-05-08T03:36:00Z,1,3600.00,180000,Purchase,False
TXN-823925,CUST-10743,PROD-025,2022-05-09T01:09:00Z,1,240.00,12000,Purchase,False
TXN-827231,CUST-10846,PROD-009,2022-05-09T02:49:00Z,1,160.00,8000,Redemption,False
TXN-822995,CUST-10719,PROD-016,2022-05-09T06:21:00Z,1,700.00,35000,Purchase,False
TXN-819048,CUST-10592,PROD-027,2022-05-09T17:15:00Z,1,1600.00,80000,Redemption,False
TXN-804357,CUST-10135,PROD-045,2022-05-10T03:46:00Z,1,320.00,16000,Redemption,False
TXN-800121,CUST-10004,PROD-009,2022-05-10T22:10:00Z,1,160.00,8000,Transfer,False
TXN-802700,CUST-10081,PROD-045,2022-05-10T22:57:00Z,1,320.00,16000,Redemption,False
TXN-819053,CUST-10592,PROD-007,2022-05-12T18:53:00Z,2,1800.00,90000,Redemption,False
TXN-805574,CUST-10168,PROD-045,2022-05-13T05:18:00Z,1,320.00,16000,Redemption,False
TXN-819214,CUST-10597,PROD-050,2022-05-13T10:16:00Z,1,600.00,30000,Redemption,False
TXN-800133,CUST-10004,PROD-050,2022-05-13T11:13:00Z,1,600.00,30000,Redemption,False
TXN-807905,CUST-10235,PROD-027,2022-05-13T18:41:00Z,2,3200.00,160000,Transfer,False
TXN-828837,CUST-10896,PROD-036,2022-05-14T01:46:00Z,3,600.00,30000,Redemption,False
TXN-822470,CUST-10705,PROD-030,2022-05-14T06:01:00Z,1,300.00,15000,Redemption,False
TXN-824701,CUST-10770,PROD-022,2022-05-14T06:26:00Z,1,400.00,20000,Redemption,False
TXN-804367,CUST-10135,PROD-046,2022-05-14T09:21:00Z,1,200.00,10000,Purchase,False
TXN-812435,CUST-10387,PROD-024,2022-05-14T16:49:00Z,1,1100.00,55000,Redemption,False
TXN-824689,CUST-10770,PROD-040,2022-05-15T06:23:00Z,1,100.00,5000,Redemption,False
TXN-827406,CUST-10852,PROD-036,2022-05-15T18:02:00Z,1,200.00,10000,Transfer,False
TXN-810008,CUST-10299,PROD-038,2022-05-16T12:31:00Z,1,120.00,6000,Redemption,False
TXN-812403,CUST-10386,PROD-049,2022-05-17T00:19:00Z,1,400.00,20000,Purchase,False
TXN-812059,CUST-10373,PROD-019,2022-05-17T16:44:00Z,1,4600.00,230000,Redemption,False
TXN-814202,CUST-10441,PROD-035,2022-05-17T19:38:00Z,1,150.00,7500,Purchase,False
TXN-800132,CUST-10004,PROD-049,2022-05-17T19:57:00Z,1,400.00,20000,Transfer,False
TXN-831075,CUST-10975,PROD-046,2022-05-18T02:47:00Z,2,400.00,20000,Redemption,False
TXN-812509,CUST-10388,PROD-030,2022-05-18T05:50:00Z,1,300.00,15000,Transfer,False
TXN-827997,CUST-10869,PROD-046,2022-05-18T08:16:00Z,2,400.00,20000,Redemption,False
TXN-817016,CUST-10536,PROD-006,2022-05-19T00:06:00Z,1,440.00,22000,Transfer,False
TXN-811962,CUST-10368,PROD-045,2022-05-19T14:38:00Z,1,320.00,16000,Redemption,False
TXN-807898,CUST-10235,PROD-025,2022-05-19T14:45:00Z,2,480.00,24000,Purchase,False
TXN-828359,CUST-10880,PROD-008,2022-05-19T23:03:00Z,1,300.00,15000,Redemption,False
TXN-823116,CUST-10721,PROD-014,2022-05-20T02:57:00Z,1,2800.00,140000,Purchase,False
TXN-827237,CUST-10846,PROD-010,2022-05-21T06:38:00Z,1,360.00,18000,Transfer,False
TXN-823381,CUST-10729,PROD-035,2022-05-21T07:37:00Z,1,150.00,7500,Redemption,False
TXN-812417,CUST-10386,PROD-049,2022-05-21T12:20:00Z,1,400.00,20000,Redemption,False
TXN-812516,CUST-10388,PROD-023,2022-05-22T02:09:00Z,1,600.00,30000,Purchase,False
TXN-826583,CUST-10824,PROD-015,2022-05-22T12:14:00Z,2,8400.00,420000,Purchase,False
TXN-805563,CUST-10168,PROD-007,2022-05-22T15:03:00Z,1,900.00,45000,Redemption,False
TXN-822636,CUST-10710,PROD-013,2022-05-22T15:33:00Z,1,1300.00,65000,Redemption,False
TXN-800746,CUST-10021,PROD-043,2022-05-22T15:44:00Z,1,200.00,10000,Purchase,False
TXN-804540,CUST-10138,PROD-026,2022-05-23T05:25:00Z,1,360.00,18000,Transfer,False
TXN-801430,CUST-10043,PROD-013,2022-05-23T05:34:00Z,1,1300.00,65000,Purchase,False
TXN-817320,CUST-10543,PROD-030,2022-05-23T09:28:00Z,1,300.00,15000,Transfer,False
TXN-805047,CUST-10153,PROD-014,2022-05-23T21:09:00Z,1,2800.00,140000,Redemption,False
TXN-816840,CUST-10530,PROD-022,2022-05-23T22:50:00Z,1,400.00,20000,Redemption,False
TXN-824563,CUST-10765,PROD-035,2022-05-24T02:54:00Z,1,150.00,7500,Redemption,False
TXN-820681,CUST-10644,PROD-031,2022-05-24T10:33:00Z,2,200.00,10000,Redemption,False
TXN-821945,CUST-10685,PROD-043,2022-05-24T11:28:00Z,1,200.00,10000,Redemption,False
TXN-821966,CUST-10686,PROD-032,2022-05-24T11:49:00Z,1,150.00,7500,Redemption,False
TXN-831659,CUST-10993,PROD-049,2022-05-24T16:51:00Z,1,400.00,20000,Purchase,False
TXN-815931,CUST-10500,PROD-003,2022-05-25T03:12:00Z,1,700.00,35000,Transfer,False
TXN-831032,CUST-10973,PROD-035,2022-05-25T09:35:00Z,1,150.00,7500,Transfer,False
TXN-826588,CUST-10824,PROD-010,2022-05-25T14:31:00Z,1,360.00,18000,Redemption,False
TXN-802699,CUST-10081,PROD-046,2022-05-26T14:08:00Z,1,200.00,10000,Redemption,False
TXN-823923,CUST-10743,PROD-009,2022-05-27T04:18:00Z,1,160.00,8000,Redemption,False
TXN-804513,CUST-10138,PROD-025,2022-05-27T15:38:00Z,1,240.00,12000,Redemption,False
TXN-823443,CUST-10729,PROD-050,2022-05-27T19:09:00Z,1,600.00,30000,Purchase,False
TXN-800497,CUST-10014,PROD-048,2022-05-27T22:22:00Z,1,400.00,20000,Transfer,False
TXN-817024,CUST-10536,PROD-003,2022-05-28T01:44:00Z,1,700.00,35000,Redemption,False
TXN-821770,CUST-10679,PROD-022,2022-05-28T03:23:00Z,1,400.00,20000,Redemption,False
TXN-820827,CUST-10650,PROD-017,2022-05-28T05:30:00Z,2,7200.00,360000,Transfer,False
TXN-804337,CUST-10135,PROD-035,2022-05-28T07:04:00Z,1,150.00,7500,Purchase,False
TXN-816789,CUST-10526,PROD-030,2022-05-28T10:01:00Z,2,600.00,30000,Redemption,False
TXN-815466,CUST-10481,PROD-023,2022-05-28T18:54:00Z,1,600.00,30000,Redemption,False
TXN-810248,CUST-10305,PROD-017,2022-05-28T21:51:00Z,1,3600.00,180000,Transfer,False
TXN-823898,CUST-10742,PROD-043,2022-05-29T09:13:00Z,1,200.00,10000,Transfer,False
TXN-802851,CUST-10087,PROD-035,2022-05-29T09:45:00Z,1,150.00,7500,Redemption,False
TXN-801444,CUST-10043,PROD-012,2022-05-29T14:13:00Z,1,6400.00,320000,Transfer,False
TXN-831653,CUST-10993,PROD-010,2022-05-29T15:36:00Z,1,360.00,18000,Purchase,False
TXN-809029,CUST-10269,PROD-014,2022-05-29T20:51:00Z,1,2800.00,140000,Transfer,False
TXN-818907,CUST-10589,PROD-036,2022-05-30T08:11:00Z,1,200.00,10000,Transfer,False
TXN-812049,CUST-10373,PROD-031,2022-05-30T17:06:00Z,1,100.00,5000,Redemption,False
TXN-827544,CUST-10856,PROD-009,2022-05-31T23:38:00Z,2,320.00,16000,Transfer,False
TXN-828023,CUST-10869,PROD-042,2022-06-01T13:56:00Z,1,200.00,10000,Redemption,False
TXN-802861,CUST-10087,PROD-034,2022-06-01T20:35:00Z,1,100.00,5000,Purchase,False
TXN-815938,CUST-10500,PROD-008,2022-06-02T20:29:00Z,1,300.00,15000,Transfer,False
TXN-824192,CUST-10753,PROD-043,2022-06-02T21:25:00Z,1,200.00,10000,Redemption,False
TXN-826548,CUST-10824,PROD-047,2022-06-02T21:38:00Z,1,200.00,10000,Redemption,False
TXN-815594,CUST-10487,PROD-027,2022-06-03T20:04:00Z,1,1600.00,80000,Redemption,False
TXN-812491,CUST-10387,PROD-014,2022-06-04T03:16:00Z,1,2800.00,140000,Redemption,False
TXN-823098,CUST-10721,PROD-015,2022-06-04T04:39:00Z,1,4200.00,210000,Redemption,False
TXN-802941,CUST-10090,PROD-009,2022-06-05T02:28:00Z,2,320.00,16000,Redemption,False
TXN-800845,CUST-10024,PROD-010,2022-06-05T05:36:00Z,1,360.00,18000,Purchase,False
TXN-808997,CUST-10268,PROD-035,2022-06-05T09:20:00Z,1,150.00,7500,Redemption,False
TXN-831347,CUST-10983,PROD-012,2022-06-05T09:50:00Z,1,6400.00,320000,Purchase,False
TXN-811065,CUST-10334,PROD-029,2022-06-05T10:01:00Z,1,440.00,22000,Transfer,False
TXN-831318,CUST-10983,PROD-017,2022-06-05T15:03:00Z,1,3600.00,180000,Redemption,False
TXN-823078,CUST-10721,PROD-013,2022-06-05T21:07:00Z,2,2600.00,130000,Purchase,False
TXN-824557,CUST-10765,PROD-028,2022-06-05T23:26:00Z,1,2600.00,130000,Purchase,False
TXN-810111,CUST-10302,PROD-003,2022-06-06T01:05:00Z,1,700.00,35000,Purchase,False
TXN-825834,CUST-10804,PROD-044,2022-06-06T01:20:00Z,2,480.00,24000,Transfer,False
TXN-824852,CUST-10774,PROD-038,2022-06-06T01:27:00Z,1,120.00,6000,Redemption,False
TXN-800839,CUST-10024,PROD-010,2022-06-06T02:24:00Z,1,360.00,18000,Purchase,False
TXN-801266,CUST-10037,PROD-030,2022-06-06T09:14:00Z,1,300.00,15000,Transfer,False
TXN-811922,CUST-10367,PROD-018,2022-06-07T23:53:00Z,1,2400.00,120000,Purchase,False
TXN-813280,CUST-10414,PROD-042,2022-06-08T07:50:00Z,1,200.00,10000,Redemption,False
TXN-809683,CUST-10288,PROD-007,2022-06-08T08:13:00Z,1,900.00,45000,Transfer,False
TXN-802211,CUST-10066,PROD-030,2022-06-08T20:42:00Z,1,300.00,15000,Transfer,False
TXN-804539,CUST-10138,PROD-025,2022-06-09T02:46:00Z,1,240.00,12000,Purchase,False
TXN-827918,CUST-10867,PROD-032,2022-06-09T10:50:00Z,1,150.00,7500,Redemption,False
TXN-827096,CUST-10842,PROD-039,2022-06-09T18:45:00Z,2,320.00,16000,Redemption,False
TXN-824194,CUST-10753,PROD-050,2022-06-09T19:40:00Z,1,600.00,30000,Redemption,False
